provision_id,customer_id,service_type,provisioned_level,status
116,C1065,compute_instances,small,active
117,C1065,api_calls,premium,active
118,C1066,support_plan,standard,active
119,C1066,cloud_storage,9TB,active
120,C1066,compute_instances,large,active
121,C1067,database_service,standard,active
122,C1067,api_calls,basic,active
123,C1067,cloud_storage,1TB,suspended
124,C1068,compute_instances,xlarge,active
125,C1068,database_service,enterprise,active
126,C1068,bandwidth,3Gbps,active
127,C1069,api_calls,basic,suspended
128,C1070,cloud_storage,8TB,active
129,C1070,support_plan,basic,active
130,C1071,compute_instances,large,active
131,C1072,bandwidth,8Gbps,active
132,C1073,support_plan,premium,active
133,C1073,api_calls,premium,active
134,C1074,database_service,high-memory,pending
135,C1075,api_calls,standard,active
136,C1076,api_calls,basic,active
137,C1076,bandwidth,2Gbps,active
138,C1077,cloud_storage,9TB,active
139,C1078,support_plan,enterprise,active
140,C1079,compute_instances,xlarge,active
141,C1079,database_service,high-memory,active
142,C1080,database_service,enterprise,active
143,C1080,support_plan,enterprise,active
144,C1080,cloud_storage,3TB,active
145,C1081,compute_instances,xlarge,active
146,C1081,bandwidth,2Gbps,active
147,C1081,api_calls,basic,active
148,C1082,compute_instances,large,active
149,C1083,support_plan,standard,suspended
150,C1083,api_calls,standard,active
151,C1084,bandwidth,4Gbps,pending
152,C1084,database_service,enterprise,active
153,C1085,api_calls,basic,suspended
154,C1085,support_plan,basic,suspended
155,C1085,cloud_storage,7TB,pending
156,C1086,database_service,high-memory,active
157,C1087,cloud_storage,8TB,active
158,C1087,support_plan,premium,active
159,C1088,database_service,standard,active
160,C1088,bandwidth,3Gbps,suspended
161,C1089,cloud_storage,4TB,pending
162,C1090,cloud_storage,5TB,active
163,C1090,database_service,high-cpu,active
164,C1090,support_plan,basic,active
165,C1091,support_plan,premium,active
166,C1091,api_calls,standard,active
167,C1091,cloud_storage,9TB,active
168,C1092,api_calls,basic,active
169,C1093,compute_instances,xlarge,active
170,C1093,support_plan,premium,active
171,C1094,cloud_storage,7TB,suspended
172,C1095,cloud_storage,3TB,active
173,C1095,bandwidth,1Gbps,active
174,C1096,database_service,enterprise,active
175,C1096,api_calls,standard,pending
176,C1096,cloud_storage,8TB,active
177,C1097,bandwidth,1Gbps,active
178,C1097,support_plan,enterprise,active
179,C1098,support_plan,standard,suspended
180,C1098,bandwidth,2Gbps,suspended
181,C1098,compute_instances,small,active
182,C1099,api_calls,standard,pending
183,C1099,compute_instances,large,pending
184,C1099,cloud_storage,2TB,active
185,C1100,cloud_storage,2TB,suspended
186,C1100,database_service,high-cpu,active
187,C1100,compute_instances,xlarge,active
